QCT,GPR
0.000000,-0.237386
0.059000,-0.114204
1.480000,1.365246
1.602000,1.495766
4.877000,5.159737
0.002000,0.123442
2.023000,1.931640
1.119000,1.078001
1.703000,1.879692
2.386000,2.377450
1.474000,1.409005
5.788000,5.709146
1.058000,1.012690
3.443000,3.888536
2.988000,3.217920
0.123000,0.285660
1.079000,1.011914
2.432000,2.440939
2.536000,2.639303
6.023000,6.039712
1.117000,1.052953
5.064000,4.703090
5.252000,5.256761
1.000000,1.017911
0.136000,0.174054
3.605000,3.703570
3.400000,3.434529
0.964000,1.147240
3.097000,3.115009
2.346000,2.357875
2.029000,2.100625
0.342000,0.169090
0.724000,0.815884
0.504000,0.462402
5.367000,5.439787
1.436000,1.447842
4.654000,4.701285
1.758000,1.443861
1.454000,1.566513
0.019000,-0.031942
0.344000,0.378849
2.422000,2.361606
1.284000,1.314260
1.788000,1.738257
3.458000,3.460943
2.475000,2.412510
3.641000,3.658695
3.318000,3.371542
2.496000,2.544364
3.222000,3.191500
4.889000,4.951363
5.169000,5.159724
6.723000,6.797976
0.692000,0.585856
1.302000,1.242676
2.106000,2.116728
3.171000,3.173939
5.008000,4.929514
1.183000,1.336194
5.681000,5.654188
2.236000,2.196429
7.675000,7.633306
2.961000,3.000144
0.011000,-0.032461
2.877000,2.897156
5.244000,5.263865
1.557000,2.004044
0.291000,0.109743
3.336000,3.444364
5.884000,5.908137
3.030000,3.114909
1.938000,1.954562
2.876000,2.984955
0.054000,0.060872
3.495000,3.408247
0.007000,-0.238290
1.879000,1.936951
0.025000,0.116099
0.462000,0.557416
3.155000,2.950867
1.548000,1.615803
4.636000,4.588798
3.736000,3.665281
4.808000,4.772756
5.606000,5.630082
2.991000,3.023746
4.858000,4.774965
6.863000,6.954915
6.567000,6.519090
0.006000,-0.150076
4.579000,4.595384
6.152000,6.171471
0.952000,0.875573
4.557000,4.560028
5.524000,5.567509
7.388000,7.376915
4.645000,4.683711
7.704000,7.641705
0.518000,0.660327
1.724000,1.659917
6.739000,6.675051
8.109000,8.151276
5.395000,5.423038
3.598000,3.570407
8.734000,8.719836
7.138000,7.149493
2.280000,2.472134
3.394000,3.382737
3.841000,3.834390
0.846000,0.885836
1.621000,1.717388
8.303000,8.432182
2.587000,2.631399
5.011000,5.104754
2.120000,2.400132
0.958000,0.826090
1.329000,1.268970
1.659000,1.977373
2.626000,2.702367
3.514000,3.304459
8.200000,8.244276
6.770000,6.693890
6.047000,5.982843
6.781000,6.779899
6.454000,6.448423
6.033000,5.965509
7.947000,7.980022
2.236000,2.222658
5.429000,5.425365
9.028000,9.041811
8.256000,8.280167
5.118000,5.067385
8.616000,8.673204
5.673000,5.548424
5.008000,4.989219
6.240000,6.155145
6.524000,6.441505
8.255000,8.302031
2.612000,2.665027
5.711000,5.752083
1.314000,1.341322
1.606000,1.611109
3.891000,4.004534
2.152000,2.099246
0.303000,0.424512
3.925000,3.563737
9.832000,9.881461
5.103000,5.160667
0.011000,0.047319
3.172000,3.079779
7.436000,7.470734
7.691000,7.678637
7.614000,7.535188
8.545000,8.488545
8.490000,8.382105
8.227000,8.210256
7.682000,7.758862
7.045000,7.139720
8.309000,8.215672
8.730000,8.710295
7.569000,7.645021
9.478000,9.592580
9.732000,9.776664
4.990000,4.930617
7.076000,6.954747
8.810000,8.770079
7.226000,7.285291
10.318000,10.379739
5.047000,5.059306
4.942000,4.941739
6.631000,6.595578
5.968000,5.954737
9.193000,9.283896
5.135000,5.139886
4.437000,4.465270
1.671000,1.663323
4.481000,4.213072
4.629000,4.615051
1.627000,1.615918
3.219000,3.028764
9.597000,9.528841
9.626000,9.478062
8.789000,8.808534
8.945000,8.882744
10.252000,10.261375
9.166000,9.037184
9.025000,9.046352
6.676000,6.659157
10.471000,10.532983
7.219000,7.206771
4.029000,4.029971
9.998000,10.070443
9.782000,9.664847
1.064000,1.008798
10.224000,10.306846
10.180000,10.192459
9.538000,9.603472
4.940000,4.985909
8.898000,8.790816
11.392000,11.348312
8.595000,8.486469
8.383000,8.396057
10.461000,10.517502
8.498000,8.402517
4.911000,4.944783
5.586000,5.770480
9.166000,9.229683
0.312000,0.431145
5.078000,4.898350
0.315000,0.617688
11.080000,11.035664
10.354000,10.433665
10.183000,10.206578
12.272000,12.193616
11.826000,11.738335
12.018000,12.013899
12.001000,11.959399
10.398000,10.422074
11.141000,11.544101
10.210000,10.224762
9.606000,9.572525
11.030000,11.139055
10.428000,10.510880
9.256000,9.333719
9.482000,9.445254
11.655000,11.642912
10.942000,11.026601
8.440000,8.551414
13.092000,12.758290
9.501000,9.583660
6.297000,6.349684
7.255000,7.369958
9.397000,9.387122
11.566000,11.570762
6.891000,7.067782
8.191000,8.210071
6.336000,6.489356
4.459000,4.502579
3.278000,3.867451
1.877000,2.160761
11.800000,11.710863
13.136000,13.272583
14.787000,14.925070
13.085000,13.143117
11.633000,11.914317
11.599000,11.698852
12.830000,12.785617
13.714000,13.571641
13.071000,12.425440
11.813000,11.866733
12.091000,12.262101
11.199000,11.370016
13.827000,14.126230
11.854000,12.156766
14.159000,14.474033
12.641000,12.911058
10.140000,10.050361
6.284000,6.323512
12.563000,12.763642
8.158000,8.351565
10.771000,10.841158
14.279000,14.160213
15.215000,14.944900
10.519000,10.579969
9.311000,9.371390
7.999000,7.627907
6.266000,5.806711
4.817000,5.237553
3.129000,4.004291
1.907000,2.536155
16.133000,16.298867
14.835000,15.163494
13.969000,13.306271
14.610000,14.625129
16.688000,16.734521
16.531000,16.570407
15.314000,15.688105
14.911000,15.039851
20.325000,20.314327
17.530000,16.685256
13.992000,13.915627
20.312000,20.907997
12.505000,12.347770
20.860000,20.802071
21.019000,20.934098
10.811000,12.024668
16.698000,16.364202
9.216000,10.464177
15.274000,14.249115
16.453000,18.305835
22.815000,23.075438
23.608000,22.012408
21.334000,21.046479
22.049000,21.556142
20.063000,20.199475
21.253000,20.576391
21.909000,22.274184
16.548000,16.864786
15.879000,14.466272
5.572000,5.037695
23.244000,22.876129
24.995000,25.158089
23.535000,23.602863
25.248000,25.457576
24.243000,24.196620
24.306000,24.246868
23.334000,23.372080
25.273000,25.221680
24.456000,24.779465
23.659000,24.050684
25.508000,25.034445
24.335000,24.276289
24.939000,25.609364
22.804000,23.670550
28.448000,27.919675
30.426000,30.431082
27.979000,28.072103
27.991000,27.698244
30.077000,30.166429
24.818000,25.253997
29.303000,29.352063
29.146000,29.241053
28.860000,29.132328
28.810000,29.145920
28.023000,27.696307
31.727000,31.948707
30.710000,30.324329
33.257000,31.907747
30.731000,30.663087
39.282000,40.077395
